"","TVR","NULL.TVR","TVR.delta","Max.95","Min.95","Season.Start","Season.num","NBA","ABA","BAA","WNBA"
"1949",0.173038655791998,0.244843912963819,-0.071805257171821,-0.0504885993485342,-0.0843621399176955,1949,1,1,0,0,0
"1950",0.228027600828029,0.244400196693575,-0.0163725958655455,0,-0.0491803278688524,1950,2,1,0,0,0
"1951",0.221087913896811,0.254778505588673,-0.0336905916918614,0.0512820512820513,-0.048951048951049,1951,3,1,0,0,0
"1952",0.164712302834781,0.24790946001118,-0.0831971571763996,-0.0733333333333333,-0.100929614873838,1952,4,1,0,0,0
"1953",0.199298883563332,0.252592581901381,-0.0532936983380492,-0.0338983050847458,-0.0596693026599569,1953,5,1,0,0,0
"1954",0.242987459802288,0.269219188752877,-0.026231728950589,-0.0148635477582846,-0.0718562874251497,1954,6,1,0,0,0
"1955",0.256665487333403,0.234843720547887,0.0218217667855156,0.0714285714285714,-0.00410509031198686,1955,7,1,0,0,0
"1956",0.247470101980074,0.244855581695671,0.00261452028440364,0.0238095238095238,-0.0390243902439024,1956,8,1,0,0,0
"1957",0.220503516618824,0.231635015603505,-0.011131498984681,0.0225988700564972,-0.0233644859813084,1957,9,1,0,0,0
"1958",0.211332742969425,0.255720283820128,-0.0443875408507039,0,-0.0562372188139059,1958,10,1,0,0,0
"1959",0.159945324648615,0.239021927763283,-0.0790766031146683,-0.0252100840336134,-0.096309963099631,1959,11,1,0,0,0
"1960",0.205957636344775,0.246333198461034,-0.0403755621162586,-0.0279503105590062,-0.0787037037037037,1960,12,1,0,0,0
"1961",0.194185210234954,0.240067306087596,-0.0458820958526421,-0.0345394736842105,-0.0786516853932584,1961,13,1,0,0,0
"1962",0.187818526995991,0.241316393983291,-0.0534978669872995,-0.034816247582205,-0.0700712589073634,1962,14,1,0,0,0
"1963",0.194763275516506,0.261384583770001,-0.0666213082534947,-0.0504439063761098,-0.116945107398568,1963,15,1,0,0,0
"1964",0.19765419347433,0.24934538654058,-0.0516911930662506,0.0389610389610389,-0.0704761904761905,1964,16,1,0,0,0
"1965",0.209650113900923,0.248189028096074,-0.0385389141951512,-0.0287958115183246,-0.0550239234449761,1965,17,1,0,0,0
"1966",0.1699695955905,0.249595245715933,-0.0796256501254332,-0.0522388059701493,-0.09375,1966,18,1,0,0,0
"1967",0.18527836309675,0.246954512651332,-0.061676149554582,-0.0523560209424084,-0.0734341252699784,1967,19,1,0,0,0
"1968",0.181567383481495,0.254154324011364,-0.0725869405298694,-0.0504731861198738,-0.0948275862068965,1968,20,1,0,0,0
"1969",0.220718187112896,0.258889373822049,-0.0381711867091533,-0.0273381294964029,-0.0532212885154062,1969,21,1,0,0,0
"1970",0.192148907513831,0.258181307415209,-0.0660323999013779,-0.0405405405405405,-0.0827586206896552,1970,22,1,0,0,0
"1971",0.150596122631407,0.24281917647424,-0.0922230538428334,-0.0798479087452471,-0.107063197026022,1971,23,1,0,0,0
"1972",0.152663462608442,0.262617014839335,-0.109953552230893,-0.0965250965250966,-0.160958904109589,1972,24,1,0,0,0
"1973",0.214329944019655,0.246584325579558,-0.0322543815599037,0,-0.0505030181086519,1973,25,1,0,0,0
"1974",0.215291331374725,0.24528941775226,-0.0299980863775357,-0.00520833333333334,-0.0414312617702448,1974,26,1,0,0,0
"1975",0.234604618135947,0.252709980219161,-0.0181053620832144,0.0153846153846154,-0.0306425041186161,1975,27,1,0,0,0
"1976",0.234174220447648,0.253383300649754,-0.0192090802021058,0,-0.0316957210776545,1976,28,1,0,0,0
"1977",0.237482769266667,0.257368208253348,-0.0198854389866813,-0.00588235294117648,-0.0318181818181818,1977,29,1,0,0,0
"1978",0.223907613991569,0.248290986194769,-0.0243833722032002,0.0441176470588235,-0.0411493437389145,1978,30,1,0,0,0
"1979",0.210226364184134,0.255546389297642,-0.0453200251135079,0.020979020979021,-0.0636833046471601,1979,31,1,0,0,0
"1980",0.180261227741201,0.252065165520785,-0.0718039377795843,-0.0618556701030928,-0.102564102564103,1980,32,1,0,0,0
"1981",0.200469967997269,0.238384335663198,-0.0379143676659289,-0.0258435032304379,-0.0532994923857868,1981,33,1,0,0,0
"1982",0.190771659066805,0.228736871796692,-0.037965212729887,-0.0264805007221955,-0.0753012048192771,1982,34,1,0,0,0
"1983",0.231847898302692,0.263963290505242,-0.0321153922025497,-0.00216919739696314,-0.0441860465116279,1983,35,1,0,0,0
"1984",0.207804654428581,0.260130289859103,-0.0523256354305214,0,-0.0645579465906145,1984,36,1,0,0,0
"1985",0.20415230981911,0.253054421618651,-0.0489021117995412,-0.0175438596491228,-0.0625,1985,37,1,0,0,0
"1986",0.166634836137704,0.242338479186714,-0.0757036430490104,-0.0642570281124498,-0.0927536231884058,1986,38,1,0,0,0
"1987",0.182403397861599,0.256297671240856,-0.0738942733792572,-0.0592387968078576,-0.128856624319419,1987,39,1,0,0,0
"1988",0.182066508637473,0.25582629573029,-0.073759787092817,-0.0515021459227468,-0.0860215053763441,1988,40,1,0,0,0
"1989",0.179821103144267,0.265574743086675,-0.0857536399424075,-0.0597014925373134,-0.0994186046511628,1989,41,1,0,0,0
"1990",0.177601855514914,0.229619119957051,-0.0520172644421368,-0.0218340611353712,-0.0614947965941343,1990,42,1,0,0,0
"1991",0.1783242760899,0.24843149138147,-0.0701072152915706,-0.0560785099138794,-0.0954151177199505,1991,43,1,0,0,0
"1992",0.185342758062954,0.245905313130291,-0.0605625550673368,-0.00602409638554216,-0.072594880847308,1992,44,1,0,0,0
